Metric,Before Feature Engineering,After Feature Engineering
Accuracy,0.8100558659217877,0.8044692737430168
Precision,0.7777777777777778,0.75
Recall,0.7101449275362319,0.7391304347826086
F1 Score,0.7424242424242424,0.7445255474452555
